id_Siniestro; Importe pagado ;Estado;Fecha Siniestro;Mes;Año;Unidad de Negocio;Id_PAS;Localidad de Ocurrencia;CP;Provincia;Marca;Modelo;Versión;Año;Suma Asegurada
3881;$ 189.500,00;CERRADO;19/7/2023;Julio;2023;Mendoza;1350;SAN ANDRES;1651;Buenos Aires;BRAVA;STREET;NEVADA  110 BASE;2013;$ 189.500,00
4150;$ 247.500,00;CERRADO;7/8/2023;Agosto;2023;Buenos Aires;1404;JOSE C. PAZ;1665;Buenos Aires;MOTOMEL;BUSINESS;110 BLITZ AUTOMATICA;2019;$ 247.500,00
3990;$ 298.000,00;CERRADO;27/7/2023;Julio;2023;USE;8;MORON;1708;Buenos Aires;MOTOMEL;BUSINESS;110 BLITZ BASE V8;2017;$ 298.000,00
4941;$ 550.500,00;CERRADO;29/9/2023;Septiembre;2023;USE;11;MORENO;1740;Buenos Aires;BAJAJ;STREET;BOXER AT 150;2020;$ 550.500,00
3241;$ 1.215.500,00;CERRADO;26/5/2023;Mayo;2023;Buenos Aires;538;LOMAS DE ZAMORA;1832;Buenos Aires;HONDA;ON OFF;XR  250  TORNADO;2015;$ 1.215.500,00
3880;$ 801.000,00;CERRADO;19/7/2023;Julio;2023;Buenos Aires;1349;BERNAL;1876;Buenos Aires;HONDA;BUSINESS;CG    150 TITAN;2013;$ 801.000,00
4844;$ 257.500,00;CERRADO;22/9/2023;Septiembre;2023;La Plata;1522;LA PLATA;1900;Buenos Aires;GILERA;CUB;110 SMASH VS;2018;$ 257.500,00
3590;$ 462.000,00;CERRADO;26/6/2023;Junio;2023;Neuquen;1273;NEUQUEN;8300;Neuquen;MOTOMEL;STREET;150 S2;2023;$ 462.000,00
3975;$ 1.400.000,00;CERRADO;26/7/2023;Julio;2023;Neuquen;942;NEUQUEN;8300;Neuquen;HONDA;ON OFF;XR  250  TORNADO;2017;$ 1.400.000,00
4403;$ 817.500,00;CERRADO;25/8/2023;Agosto;2023;Neuquen;328;NEUQUEN;8300;Neuquen;HONDA;ON OFF;XR  150 L;2017;$ 817.500,00
751;$ 304.500,00;CERRADO;25/9/2022;Septiembre;2022;Buenos Aires;449;JOSE LEON SUAREZ;1655;Buenos Aires;YAMAHA;STREET;125 YBR R;2016;$ 304.500,00
688;$ 246.158,00;CERRADO;18/9/2022;Septiembre;2022;Buenos Aires;79;BARRIO CHURRUCA;1657;Buenos Aires;MONDIAL;CUB;110 LD H S/D MAX;2022;$ 246.158,00
1896;$ 945.000,00;CERRADO;28/1/2023;Enero;2023;La Plata;395;VILLA ELISA;1894;Buenos Aires;HONDA;SPORT;CB 250 TWISTER (CBX);2018;$ 945.000,00
1284;$ 365.000,00;CERRADO;1/12/2022;Diciembre;2022;Buenos Aires;655;WILDE;1875;Buenos Aires;HONDA;BUSINESS;WAVE  110S NEW BASE;2022;$ 365.000,00
4877;$ 644.500,00;CERRADO;25/9/2023;Septiembre;2023;Buenos Aires;877;LUJAN;6700;Buenos Aires;HONDA;BUSINESS;WAVE  110S NEW BASE;2022;$ 644.500,00
1621;$ 610.000,00;CERRADO;1/1/2023;Enero;2023;Buenos Aires;319;MEXICO 1-1600;1097;C.A. de Buenos Aires;YAMAHA;TURISMO;150 FZ FI S;2017;$ 610.000,00
7615;$ 1.518.500,00;CERRADO;9/2/2024;Febrero;2024;Buenos Aires;12;GENERAL RODRIGUEZ;1748;Buenos Aires;HONDA;BUSINESS;WAVE  110S NEW BASE;2022;$ 1.518.500,00
6387;$ 1.150.000,00;CERRADO;16/12/2023;Diciembre;2023;Buenos Aires;378;JOSE C. PAZ;1665;Buenos Aires;HONDA;BUSINESS;WAVE  110S NEW BASE;2023;$ 1.150.000,00
5075;$ 3.066.000,00;CERRADO;8/10/2023;Octubre;2023;Buenos Aires;26;EL PALOMAR;1684;Buenos Aires;ROYAL ENFIELD;HIMALAYAN;410 HIMALAYAN;2023;$ 3.066.000,00
6194;$ 905.500,00;CERRADO;7/12/2023;Diciembre;2023;Buenos Aires;1027;WILDE;1875;Buenos Aires;HONDA;BUSINESS;WAVE  110;2019;$ 905.500,00
5708;$ 731.875,00;CERRADO;13/11/2023;Noviembre;2023;Rosario;720;PEREZ;2121;Santa Fe;MOTOMEL;BUSINESS;110 C DLX A/E;2019;$ 731.875,00
5923;$ 901.000,00;CERRADO;24/11/2023;Noviembre;2023;Parana;654;SANTO TOME;3016;Santa Fe;HONDA;BUSINESS;WAVE  110S C/D;2018;$ 901.000,00
5683;$ 518.393,00;CERRADO;12/11/2023;Noviembre;2023;Corrientes;1667;CORRIENTES;3400;Corrientes;ZANELLA;CUB;ZB  110 AT;2021;$ 518.393,00
4142;$ 296.000,00;CERRADO;6/8/2023;Agosto;2023;Buenos Aires;1180;TTE. GRAL. JUAN DOMINGO PERON 1801-2800;1040;C.A. de Buenos Aires;KELLER;BUSINESS;110 CRONO CLASIC ECO;2022;$ 296.000,00
3684;$ 6.105.000,00;CERRADO;4/7/2023;Julio;2023;Buenos Aires;26;RIVADAVIA AVDA. 7801-10000;1407;C.A. de Buenos Aires;KAWASAKI;ON OFF;KLR  650;2021;$ 6.105.000,00
3923;$ 806.500,00;CERRADO;22/7/2023;Julio;2023;Buenos Aires;594;RIVADAVIA AVDA. 7801-10000;1407;C.A. de Buenos Aires;HONDA;ON OFF;XR  150 L;2016;$ 806.500,00
